Animal_Type,Breed,Age,Gender,Weight,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction,grooming_frequency,lifetime_cost,food_cost(per_year),longevity(years),food_allergies
Dog,Labrador,4,Male,25,3 days,Yes,Yes,No,No,No,No,No,No,No,39.5°C,120,Parvovirus,Once a week,"$21,299 ",$466 ,12.04,"Chicken, Beef, Grains (wheat, corn)"
Cat,Siamese,2,Female,4.5,1 week,No,No,No,Yes,No,No,No,Yes,Yes,38.9°C,150,Upper Respiratory Infection,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Beagle,1,Male,10,2 days,Yes,Yes,Yes,No,No,No,No,No,No,39.2°C,130,Gastroenteritis,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Persian,5,Male,3.8,2 weeks,Yes,No,No,No,No,No,Yes,No,No,38.7°C,160,Fungal Infection,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,German Shepherd,3,Female,30,7 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3°C,110,Lyme Disease,Once a week,"$17,416 ",$466 ,9.73,"Chicken, Beef, Dairy, Grains"
Cat,Maine Coon,2,Male,6,4 days,Yes,Yes,Yes,No,No,No,No,No,No,39.1°C,140,Intestinal Parasites,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Bulldog,5,Male,23,6 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.0°C,115,Canine Distemper,Once a week,"$13,479 ",$466 ,6.29,"Chicken, Beef, Dairy, Grains"
Cat,Siamese,3,Female,5,5 days,Yes,Yes,No,No,No,No,Yes,No,No,39.0°C,130,Panleukopenia,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Poodle,2,Female,12,4 days,Yes,Yes,No,Yes,No,No,No,No,No,39.4°C,115,Kennel Cough,Once a week,"$21,237 ",$466 ,11.95,"Chicken, Beef, Grains (wheat, corn)"
Cat,Bengal,1,Male,4.2,3 days,Yes,Yes,Yes,No,No,No,No,No,No,38.8°C,140,Panleukopenia,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Chihuahua,4,Female,3.5,2 days,Yes,Yes,Yes,Yes,No,No,No,No,No,39.1°C,130,Canine Parvovirus,Once a week,"$26,250 ",$324 ,16.5,"Beef, Chicken, Dairy, Grains"
Cat,Ragdoll,3,Male,5,10 days,Yes,Yes,No,No,No,No,Yes,No,No,38.6°C,155,Ringworm,Once a week,"$17,000",$466,13.5,"Dairy, Chicken, Fish"
Dog,Siberian Husky,6,Male,28,8 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3°C,120,Tick-Borne Disease,Once in a few weeks,"$22,049 ",$466 ,12.58,"Fish, Beef, Grains"
Cat,British Shorthair,5,Female,4.8,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.0°C,150,Upper Respiratory Infection,Once a week,"$16,000",$466,12.5,"Beef, Fish, Grains"
Dog,Poodle,2,Female,8,4 days,Yes,No,No,Yes,No,No,No,Yes,No,39.1°C,125,Kennel Cough,Once a week,"$21,237 ",$466 ,11.95,"Chicken, Beef, Grains (wheat, corn)"
